"line","word"
44,"statea"
45,"got"
45,"busi"
45,"id"
45,"time"
45,"order"
45,"product"
45,"edabdedba"
46,"republican"
46,"attack"
46,"offici"
46,"scorekeep"
46,"par"
46,"climat"
46,"chang"
46,"denial"
46,"support"
46,"creation"
47,"got"
47,"bottom"
47,"break"
47,"privat"
47,"jet"
47,"owner"
47,"figur"
47,"complic"
47,"well"
47,"itea"
48,"call"
48,"senate"
48,"offic"
48,"yet"
48,"will"
48,"vote"
48,"bill"
48,"today"
48,"get"
49,"absolut"
49,"lie"
49,"entir"
49,"convers"
49,"rate"
49,"govern"
49,"revenu"
49,"problem"
49,"donet"
49,"haveea"
50,"republican"
50,"plan"
50,"cut"
50,"wealthi"
50,"expens"
50,"middle"
50,"lower"
50,"incom"
50,"american"
50,"peea"
51,"massiv"
51,"heist"
51,"take"
51,"middle"
51,"class"
51,"give"
51,"break"
51,"millionair"
51,"dont"
51,"stop"
51,"fight"
51,"back"
51,"htea"
52,"ceo"
52,"agre"
52,"corpor"
52,"cut"
52,"wont"
52,"trickl"
53,"gop"
53,"quick"
53,"revers"
53,"bill"
53,"carveout"
53,"favor"
53,"devosalign"
53,"hillsdal"
53,"colleg"
54,"bill"
54,"offer"
54,"lastminut"
54,"break"
54,"real"
54,"estate"
54,"develop"
54,"bank"
54,"oil"
54,"industri"
55,"gop"
55,"senate"
55,"say"
55,"ite"
55,"hard"
55,"fund"
55,"billion"
55,"children"
55,"health"
55,"care"
55,"program"
55,"e"
55,"advoc"
55,"trillion"
55,"taxea"
56,"oregon"
56,"sale"
56,"bless"
57,"promot"
57,"ecpul"
57,"bootstraps"
57,"us"
57,"senate"
57,"pass"
57,"massiv"
57,"cut"
57,"rich"
57,"afea"
58,"hdtalk"
58,"pelosi"
58,"suffer"
58,"face"
58,"spasm"
58,"brain"
58,"freez"
58,"denounc"
58,"conyer"
59,"bill"
59,"pass"
59,"senate"
59,"now"
59,"start"
59,"sell"
59,"organ"
59,"pay"
59,"graduat"
59,"school"
60,"ireland"
60,"prostitut"
60,"taxdodg"
60,"corpor"
60,"world"
60,"identikit"
60,"fine"
60,"gael"
60,"fianna"
60,"fcail"
60,"pimpparti"
60,"massea"
61,"make"
61,"less"
61,"year"
61,"plan"
61,"trynna"
61,"pass"
61,"will"
61,"screw"
62,"god"
62,"damn"
62,"report"
62,"stop"
62,"frame"
62,"bill"
62,"fight"
62,"two"
62,"equal"
62,"side"
62,"just"
62,"democrat"
62,"say"
62,"huea"
63,"got"
63,"yeethoven"
63,"ticket"
63,"last"
63,"chanc"
63,"feel"
63,"upper"
63,"middle"
63,"class"
63,"bill"
63,"kick"
64,"less"
64,"year"
64,"ago"
64,"hous"
64,"ds"
64,"demand"
64,"rais"
64,"million"
64,"e"
64,"meanwhil"
64,"gov"
64,"martinez"
64,"veto"
64,"massiv"
64,"increaea"
65,"note"
65,"want"
65,"complet"
65,"unus"
65,"twitter"
65,"mention"
65,"tweet"
65,"jesus"
65,"reform"
65,"day"
66,"time"
66,"country"
66,"histori"
66,"control"
66,"three"
66,"hous"
66,"wealth"
66,"inequ"
66,"time"
66,"hiea"
67,"last"
67,"night"
67,"reform"
67,"plan"
67,"pass"
67,"senate"
67,"tiebreak"
67,"vice"
67,"presid"
67,"mike"
67,"penceedabdedbd"
68,"lmfao"
68,"buy"
68,"bottl"
68,"mr"
68,"think"
68,"pocket"
68,"fine"
69,"yearend"
69,"move"
69,"homeown"
69,"look"
69,"get"
69,"ahead"
69,"reform"
70,"screw"
70,"middle"
70,"class"
70,"america"
70,"roskam"
70,"republican"
70,"cross"
70,"rubicon"
70,"overhaul"
70,"pea"
71,"stand"
71,"oppos"
71,"gope"
71,"taxreform"
71,"eaaefbfreduc"
71,"chariti"
71,"recipi"
71,"billion"
71,"eaaefbfbreak"
71,"yea"
72,"hey"
72,"see"
72,"just"
72,"vote"
72,"middleeofthenight"
72,"partisan"
72,"bill"
72,"inflat"
72,"deficit"
72,"tea"
73,"realli"
73,"just"
73,"say"
73,"bibl"
73,"refer"
73,"unit"
73,"state"
73,"code"
73,"realli"
74,"add"
75,"ecsometim"
75,"gotta"
75,"disrespect"
75,"show"
75,"people"
75,"respect"
75,"whole"
75,"time"
76,"gop"
76,"bill"
76,"trillion"
76,"dollar"
76,"cut"
76,"ultra"
